locale,rank,sport,code,team,league,current_players,notable_historic_players,notes,caution,sources
Winnipeg/Manitoba,2,Canadian football,CFL,Winnipeg Blue Bombers,CFL,Zach Collaros; Brady Oliveira; Willie Jefferson,Milt Stegall; Chris Walby; Ken Ploen,Strong Winnipeg CFL seed.,Do not infer identity/fandom.,bluebombers.com; cfl.ca
Winnipeg/Manitoba,3,Soccer,CPL,Valour FC,Canadian Premier League,Dante Campbell; Themi Antonoglou; Shaan Hundal,Daryl Fordyce; Andrew Jean-Baptiste; Diego Gutierrez,Winnipeg CPL soccer seed.,CPL rosters change.,valourfc.canpl.ca
Saskatchewan/Regina,1,Canadian football,CFL,Saskatchewan Roughriders,CFL,Trevor Harris; Samuel Emilus; A.J. Ouellette,Ron Lancaster; George Reed; Gene Makowsky,Province-wide CFL identity centred in Regina.,Avoid overgeneralizing Saskatchewan identity.,riderville.com; cfl.ca
Saskatchewan/Regina,2,Ice hockey,WHL,Regina Pats,Western Hockey League,Roster varies annually; verify official roster,Connor Bedard; Doug Wickenheiser; Clark Gillies,Strong Regina junior-hockey seed.,Junior rosters change quickly.,reginapats.com; chl.ca
Saskatchewan/Regina,3,Curling,Curling Canada,Saskatchewan curling context,provincial/national curling,Team varies by season,Sandra Schmirler; Ernie Richardson; Ben Hebert,Curling is a legitimate Saskatchewan sport signal.,Do not turn into prairie stereotype; use only where context fits.,curling.ca
Calgary/Alberta,1,Ice hockey,NHL,Calgary Flames,NHL,Jonathan Huberdeau; Nazem Kadri; MacKenzie Weegar,Jarome Iginla; Lanny McDonald; Miikka Kiprusoff,Calgary NHL seed.,Weak regional context only.,nhl.com/flames/roster
Calgary/Alberta,2,Canadian football,CFL,Calgary Stampeders,CFL,Jake Maier; Reggie Begelton; Dedrick Mills,Doug Flutie; Bo Levi Mitchell; Allen Pitts,Calgary CFL seed.,Sports allegiance is individual.,stampeders.com; cfl.ca
Calgary/Alberta,3,Lacrosse,NLL,Calgary Roughnecks,National Lacrosse League,Jesse King; Christian Del Bianco; Curtis Dickson,Tracey Kelusky; Kaleb Toth; Geoff Snider,Calgary indoor-lacrosse seed.,Niche but locally real; verify roster.,calgaryroughnecks.com; nll.com
Edmonton/Alberta,1,Ice hockey,NHL,Edmonton Oilers,NHL,Connor McDavid; Leon Draisaitl; Evan Bouchard,Wayne Gretzky; Mark Messier; Jari Kurri,High-salience Edmonton NHL seed.,Do not infer identity or exact location.,nhl.com/oilers/roster
Edmonton/Alberta,2,Canadian football,CFL,Edmonton Elks,CFL,Tre Ford; Eugene Lewis; Kurleigh Gittens Jr.,Warren Moon; Jackie Parker; Gizmo Williams,Edmonton CFL seed.,Weak locality evidence only.,goelks.com; cfl.ca
Edmonton/Alberta,3,Soccer,CPL history/local soccer,FC Edmonton / Edmonton soccer context,CPL history,N/A - club folded,Alphonso Davies; Randy Edwini-Bonsu; local lists vary,Edmonton soccer context needs care because FC Edmonton folded.,Do not present defunct club as active.,canpl.ca; canadasoccer.com
Vancouver/BC,1,Ice hockey,NHL,Vancouver Canucks,NHL,Quinn Hughes; Elias Pettersson; Thatcher Demko,Henrik Sedin; Daniel Sedin; Trevor Linden,Vancouver/BC NHL seed.,Weak cultural/locality signal only.,nhl.com/canucks/roster
Vancouver/BC,2,Soccer,MLS,Vancouver Whitecaps FC,Major League Soccer,Ryan Gauld; Brian White; Andres Cubas,Carl Valentine; Bob Lenarduzzi; Alphonso Davies,Vancouver soccer seed.,MLS rosters change.,whitecapsfc.com; mlssoccer.com
Vancouver/BC,3,Canadian football,CFL,BC Lions,CFL,Vernon Adams Jr.; Nathan Rourke; Mathieu Betts,Doug Flutie; Lui Passaglia; Geroy Simon,BC/Vancouver CFL seed.,Regional fandom varies across BC.,bclions.com; cfl.ca
Northern Canada/Nunavut/Yukon,1,Ice hockey,Arctic Winter Games,Team Yukon / Team Nunavut hockey context,Arctic Winter Games / regional elite,Dylan Cozens; Gavin McKenna; regional representatives,Jordin Tootoo; Peter Sturgeon; Bryon Baltimore,No single major pro team covers Nunavut/Yukon; use northern athlete/regional competition context.,High stereotype risk; avoid identity inference and verify local relevance.,arcticwintergames.org; nhl.com
Northern Canada/Nunavut/Yukon,2,Curling,Territorial curling,Yukon/Nunavut/NWT curling context,territorial/national curling,Team varies by season,Sharon Cormier; Kerry Galusha; local lists vary,Curling can be a real northern sport context.,Avoid generic northern/snow stereotype; use with context.,curling.ca
Northern Canada/Nunavut/Yukon,3,Dene/Inuit games,Arctic sports,Arctic sports / Arctic Winter Games,regional games,Competitors vary by event,Traditional-sport historic names vary locally,Culturally specific sport context better than forcing southern pro-team model.,High care required; do not appropriate or generalise Indigenous identity.,arcticwintergames.org
